quarter,node,step,fab,loading
Q1'26,1,1,1,5350.094054513935
Q1'26,1,1,2,4148.622926618143
Q1'26,1,1,3,2501.283018867923
Q1'26,1,2,1,5350.094054513935
Q1'26,1,2,2,4148.622926618143
Q1'26,1,2,3,2501.283018867923
Q1'26,1,3,1,5350.094054513935
Q1'26,1,3,2,4148.622926618143
Q1'26,1,3,3,2501.283018867923
Q1'26,1,4,1,6492.651130434781
Q1'26,1,4,2,5507.348869565219
Q1'26,1,4,3,-0.000000000000
Q1'26,1,5,1,5714.877545529122
Q1'26,1,5,2,5507.348869565218
Q1'26,1,5,3,777.773584905661
Q1'26,1,6,1,5714.877545529122
Q1'26,1,6,2,5507.348869565218
Q1'26,1,6,3,777.773584905661
Q1'26,1,7,1,5714.877545529122
Q1'26,1,7,2,5507.348869565218
Q1'26,1,7,3,777.773584905661
Q1'26,1,8,1,7145.969923273657
Q1'26,1,8,2,4854.030076726343
Q1'26,1,8,3,0.000000000000
Q1'26,1,9,1,7145.969923273657
Q1'26,1,9,2,4854.030076726343
Q1'26,1,9,3,-0.000000000000
Q1'26,1,10,1,7145.969923273657
Q1'26,1,10,2,4854.030076726343
Q1'26,1,10,3,-0.000000000000
Q1'26,1,11,1,7145.969923273657
Q1'26,1,11,2,4854.030076726343
Q1'26,1,11,3,-0.000000000000
Q1'26,2,1,1,3429.440000000001
Q1'26,2,1,2,1570.559999999999
Q1'26,2,1,3,-0.000000000000
Q1'26,2,2,1,3429.440000000001
Q1'26,2,2,2,1570.559999999999
Q1'26,2,2,3,-0.000000000000
Q1'26,2,3,1,3429.440000000001
Q1'26,2,3,2,1570.560000000000
Q1'26,2,3,3,-0.000000000000
Q1'26,2,4,1,3429.440000000001
Q1'26,2,4,2,1570.559999999999
Q1'26,2,4,3,-0.000000000000
Q1'26,2,5,1,3429.440000000001
Q1'26,2,5,2,1570.559999999999
Q1'26,2,5,3,-0.000000000000
Q1'26,2,6,1,3429.440000000001
Q1'26,2,6,2,1570.559999999999
Q1'26,2,6,3,-0.000000000000
Q1'26,2,7,1,3429.440000000001
Q1'26,2,7,2,1570.559999999999
Q1'26,2,7,3,-0.000000000000
Q1'26,2,8,1,3429.440000000001
Q1'26,2,8,2,1570.559999999999
Q1'26,2,8,3,-0.000000000000
Q1'26,2,9,1,3429.440000000001
Q1'26,2,9,2,1570.559999999999
Q1'26,2,9,3,-0.000000000000
Q1'26,2,10,1,3429.440000000001
Q1'26,2,10,2,1570.559999999999
Q1'26,2,10,3,-0.000000000000
Q1'26,2,11,1,3429.440000000001
Q1'26,2,11,2,1570.559999999999
Q1'26,2,11,3,-0.000000000000
Q1'26,2,12,1,3429.440000000001
Q1'26,2,12,2,1570.559999999999
Q1'26,2,12,3,-0.000000000000
Q1'26,2,13,1,3429.440000000001
Q1'26,2,13,2,1570.559999999999
Q1'26,2,13,3,-0.000000000000
Q1'26,2,14,1,3429.440000000001
Q1'26,2,14,2,1570.559999999999
Q1'26,2,14,3,-0.000000000000
Q1'26,2,15,1,3429.440000000001
Q1'26,2,15,2,1570.559999999999
Q1'26,2,15,3,-0.000000000000
Q1'26,3,1,1,0.000000000000
Q1'26,3,1,2,0.000000000000
Q1'26,3,1,3,3000.000000000000
Q1'26,3,2,1,0.000000000000
Q1'26,3,2,2,-0.000000000000
Q1'26,3,2,3,3000.000000000000
Q1'26,3,3,1,0.000000000000
Q1'26,3,3,2,-0.000000000000
Q1'26,3,3,3,3000.000000000000
Q1'26,3,4,1,0.000000000000
Q1'26,3,4,2,-0.000000000000
Q1'26,3,4,3,3000.000000000000
Q1'26,3,5,1,0.000000000000
Q1'26,3,5,2,-0.000000000000
Q1'26,3,5,3,3000.000000000000
Q1'26,3,6,1,0.000000000000
Q1'26,3,6,2,-0.000000000000
Q1'26,3,6,3,3000.000000000000
Q1'26,3,7,1,0.000000000000
Q1'26,3,7,2,-0.000000000000
Q1'26,3,7,3,3000.000000000000
Q1'26,3,8,1,-0.000000000000
Q1'26,3,8,2,-0.000000000000
Q1'26,3,8,3,3000.000000000000
Q1'26,3,9,1,0.000000000000
Q1'26,3,9,2,-0.000000000000
Q1'26,3,9,3,3000.000000000000
Q1'26,3,10,1,0.000000000000
Q1'26,3,10,2,-0.000000000000
Q1'26,3,10,3,3000.000000000000
Q1'26,3,11,1,0.000000000000
Q1'26,3,11,2,-0.000000000000
Q1'26,3,11,3,3000.000000000000
Q1'26,3,12,1,0.000000000000
Q1'26,3,12,2,-0.000000000000
Q1'26,3,12,3,3000.000000000000
Q1'26,3,13,1,0.000000000000
Q1'26,3,13,2,0.000000000000
Q1'26,3,13,3,3000.000000000000
Q1'26,3,14,1,0.000000000000
Q1'26,3,14,2,-0.000000000000
Q1'26,3,14,3,3000.000000000000
Q1'26,3,15,1,0.000000000000
Q1'26,3,15,2,-0.000000000000
Q1'26,3,15,3,3000.000000000000
Q1'26,3,16,1,-0.000000000000
Q1'26,3,16,2,-0.000000000000
Q1'26,3,16,3,3000.000000000000
Q1'26,3,17,1,0.000000000000
Q1'26,3,17,2,0.000000000000
Q1'26,3,17,3,3000.000000000000
Q2'26,1,1,1,5735.507144906742
Q2'26,1,1,2,3333.459232381435
Q2'26,1,1,3,931.033622711823
Q2'26,1,2,1,5735.507144906742
Q2'26,1,2,2,3333.459232381435
Q2'26,1,2,3,931.033622711823
Q2'26,1,3,1,5735.507144906742
Q2'26,1,3,2,3333.459232381435
Q2'26,1,3,3,931.033622711823
Q2'26,1,4,1,5735.507144906742
Q2'26,1,4,2,4264.492855093258
Q2'26,1,4,3,-0.000000000000
Q2'26,1,5,1,5735.507144906742
Q2'26,1,5,2,4264.492855093258
Q2'26,1,5,3,-0.000000000000
Q2'26,1,6,1,5735.507144906742
Q2'26,1,6,2,4264.492855093258
Q2'26,1,6,3,-0.000000000000
Q2'26,1,7,1,5735.507144906742
Q2'26,1,7,2,4264.492855093258
Q2'26,1,7,3,-0.000000000000
Q2'26,1,8,1,5735.507144906742
Q2'26,1,8,2,4264.492855093258
Q2'26,1,8,3,-0.000000000000
Q2'26,1,9,1,5735.507144906742
Q2'26,1,9,2,4264.492855093258
Q2'26,1,9,3,-0.000000000000
Q2'26,1,10,1,5735.507144906742
Q2'26,1,10,2,4264.492855093258
Q2'26,1,10,3,-0.000000000000
Q2'26,1,11,1,5735.507144906742
Q2'26,1,11,2,4264.492855093258
Q2'26,1,11,3,-0.000000000000
Q2'26,2,1,1,3429.440000000001
Q2'26,2,1,2,1770.560000000000
Q2'26,2,1,3,-0.000000000000
Q2'26,2,2,1,3429.440000000001
Q2'26,2,2,2,1770.560000000000
Q2'26,2,2,3,-0.000000000000
Q2'26,2,3,1,3429.440000000001
Q2'26,2,3,2,1770.560000000000
Q2'26,2,3,3,-0.000000000000
Q2'26,2,4,1,3429.440000000001
Q2'26,2,4,2,1770.560000000000
Q2'26,2,4,3,0.000000000000
Q2'26,2,5,1,3429.440000000001
Q2'26,2,5,2,1770.560000000000
Q2'26,2,5,3,-0.000000000000
Q2'26,2,6,1,3429.440000000001
Q2'26,2,6,2,1770.559999999999
Q2'26,2,6,3,0.000000000001
Q2'26,2,7,1,3429.440000000001
Q2'26,2,7,2,1770.559999999999
Q2'26,2,7,3,0.000000000001
Q2'26,2,8,1,3429.440000000001
Q2'26,2,8,2,1770.559999999999
Q2'26,2,8,3,0.000000000001
Q2'26,2,9,1,3429.440000000001
Q2'26,2,9,2,1740.516538072479
Q2'26,2,9,3,30.043461927521
Q2'26,2,10,1,3429.440000000001
Q2'26,2,10,2,1740.516538072479
Q2'26,2,10,3,30.043461927521
Q2'26,2,11,1,3429.440000000001
Q2'26,2,11,2,1740.516538072479
Q2'26,2,11,3,30.043461927521
Q2'26,2,12,1,3429.440000000001
Q2'26,2,12,2,1740.516538072479
Q2'26,2,12,3,30.043461927521
Q2'26,2,13,1,3429.440000000027
Q2'26,2,13,2,1740.516538072479
Q2'26,2,13,3,30.043461927495
Q2'26,2,14,1,3429.440000000017
Q2'26,2,14,2,1740.516538072479
Q2'26,2,14,3,30.043461927505
Q2'26,2,15,1,3429.440000000017
Q2'26,2,15,2,1740.516538072479
Q2'26,2,15,3,30.043461927505
Q2'26,3,1,1,101.985882352942
Q2'26,3,1,2,1078.907339276914
Q2'26,3,1,3,3319.106778370144
Q2'26,3,2,1,101.985882352942
Q2'26,3,2,2,1078.907339276914
Q2'26,3,2,3,3319.106778370144
Q2'26,3,3,1,101.985882352942
Q2'26,3,3,2,1078.907339276914
Q2'26,3,3,3,3319.106778370144
Q2'26,3,4,1,101.985882352942
Q2'26,3,4,2,1078.907339276914
Q2'26,3,4,3,3319.106778370144
Q2'26,3,5,1,101.985882352942
Q2'26,3,5,2,1078.907339276914
Q2'26,3,5,3,3319.106778370144
Q2'26,3,6,1,101.985882352942
Q2'26,3,6,2,1078.907339276914
Q2'26,3,6,3,3319.106778370144
Q2'26,3,7,1,101.985882352942
Q2'26,3,7,2,1078.907339276914
Q2'26,3,7,3,3319.106778370144
Q2'26,3,8,1,101.985882352942
Q2'26,3,8,2,1078.907339276914
Q2'26,3,8,3,3319.106778370144
Q2'26,3,9,1,101.985882352942
Q2'26,3,9,2,1078.907339276914
Q2'26,3,9,3,3319.106778370144
Q2'26,3,10,1,101.985882352942
Q2'26,3,10,2,1078.907339276914
Q2'26,3,10,3,3319.106778370144
Q2'26,3,11,1,101.985882352942
Q2'26,3,11,2,1078.907339276914
Q2'26,3,11,3,3319.106778370144
Q2'26,3,12,1,101.985882352942
Q2'26,3,12,2,1078.907339276914
Q2'26,3,12,3,3319.106778370144
Q2'26,3,13,1,101.985882352942
Q2'26,3,13,2,1078.907339276914
Q2'26,3,13,3,3319.106778370144
Q2'26,3,14,1,101.985882352942
Q2'26,3,14,2,1078.907339276914
Q2'26,3,14,3,3319.106778370144
Q2'26,3,15,1,101.985882352942
Q2'26,3,15,2,1078.907339276914
Q2'26,3,15,3,3319.106778370144
Q2'26,3,16,1,101.985882352942
Q2'26,3,16,2,1078.907339276914
Q2'26,3,16,3,3319.106778370144
Q2'26,3,17,1,101.985882352942
Q2'26,3,17,2,1078.907339276914
Q2'26,3,17,3,3319.106778370144
Q3'26,1,1,1,5685.043858977593
Q3'26,1,1,2,1950.318704038286
Q3'26,1,1,3,864.637436984121
Q3'26,1,2,1,5685.043858977593
Q3'26,1,2,2,1950.318704038286
Q3'26,1,2,3,864.637436984121
Q3'26,1,3,1,5685.043858977593
Q3'26,1,3,2,1950.318704038286
Q3'26,1,3,3,864.637436984121
Q3'26,1,4,1,5854.618896889020
Q3'26,1,4,2,2645.381103110980
Q3'26,1,4,3,-0.000000000000
Q3'26,1,5,1,5854.618896889020
Q3'26,1,5,2,2645.381103110980
Q3'26,1,5,3,-0.000000000000
Q3'26,1,6,1,5854.618896889020
Q3'26,1,6,2,2645.381103110980
Q3'26,1,6,3,0.000000000000
Q3'26,1,7,1,5854.618896889020
Q3'26,1,7,2,2645.381103110980
Q3'26,1,7,3,-0.000000000000
Q3'26,1,8,1,5854.618896889020
