quarter,ws,fab1,fab2,fab3
Q1'26,A,50,35,0
Q1'26,B,25,30,0
Q1'26,C,0,0,40
Q1'26,D,50,50,35
Q1'26,E,40,30,16
Q1'26,F,90,60,36
Q1'26,A+,0,0,5
Q1'26,B+,9,0,0
Q1'26,C+,0,30,0
Q1'26,D+,16,0,0
Q1'26,E+,0,0,6
Q1'26,F+,3,3,0
Q2'26,A,50,35,0
Q2'26,B,25,30,0
Q2'26,C,0,0,40
Q2'26,D,50,50,5
Q2'26,E,40,30,16
Q2'26,F,90,60,36
Q2'26,A+,0,3,5
Q2'26,B+,9,0,0
Q2'26,C+,0,30,1
Q2'26,D+,17,2,28
Q2'26,E+,0,15,6
Q2'26,F+,3,3,0
Q3'26,A,50,35,0
Q3'26,B,25,21,0
Q3'26,C,0,0,16
Q3'26,D,38,42,5
Q3'26,E,40,30,16
Q3'26,F,90,60,29
Q3'26,A+,0,3,5
Q3'26,B+,9,0,0
Q3'26,C+,0,32,23
Q3'26,D+,17,2,28
Q3'26,E+,0,15,14
Q3'26,F+,3,3,0
Q4'26,A,23,18,0
Q4'26,B,25,21,0
Q4'26,C,0,0,16
Q4'26,D,35,38,5
Q4'26,E,40,30,16
Q4'26,F,90,60,29
Q4'26,A+,0,3,5
Q4'26,B+,21,0,0
Q4'26,C+,21,50,23
Q4'26,D+,17,11,28
Q4'26,E+,31,23,14
Q4'26,F+,3,3,0
Q1'27,A,18,18,0
Q1'27,B,25,21,0
Q1'27,C,0,0,16
Q1'27,D,35,38,1
Q1'27,E,40,30,16
Q1'27,F,90,60,29
Q1'27,A+,0,3,5
Q1'27,B+,21,0,0
Q1'27,C+,21,50,26
Q1'27,D+,35,11,28
Q1'27,E+,31,23,15
Q1'27,F+,3,3,0
Q2'27,A,17,9,0
Q2'27,B,25,21,0
Q2'27,C,0,0,2
Q2'27,D,35,37,1
Q2'27,E,40,30,16
Q2'27,F,90,60,29
Q2'27,A+,0,4,5
Q2'27,B+,21,7,0
Q2'27,C+,21,50,36
Q2'27,D+,35,21,28
Q2'27,E+,32,23,18
Q2'27,F+,3,3,0
Q3'27,A,17,2,0
Q3'27,B,25,4,0
Q3'27,C,0,0,2
Q3'27,D,0,0,0
Q3'27,E,40,30,13
Q3'27,F,90,60,29
Q3'27,A+,0,4,5
Q3'27,B+,34,8,0
Q3'27,C+,24,65,37
Q3'27,D+,38,52,32
Q3'27,E+,32,34,18
Q3'27,F+,3,4,0
Q4'27,A,0,2,0
Q4'27,B,16,4,0
Q4'27,C,0,0,1
Q4'27,D,0,0,0
Q4'27,E,40,19,12
Q4'27,F,85,60,29
Q4'27,A+,0,4,5
Q4'27,B+,34,8,0
Q4'27,C+,54,65,37
Q4'27,D+,38,53,32
Q4'27,E+,56,44,18
Q4'27,F+,3,4,3
