quarter,ws,fab1,fab2,fab3
Q1'26,A,50,35,0
Q1'26,B,25,30,0
Q1'26,C,0,0,40
Q1'26,D,50,50,35
Q1'26,E,40,30,16
Q1'26,F,90,60,36
Q1'26,A+,0,3,0
Q1'26,B+,3,0,0
Q1'26,C+,0,0,0
Q1'26,D+,2,0,1
Q1'26,E+,0,2,0
Q1'26,F+,0,7,0
Q2'26,A,0,0,0
Q2'26,B,0,0,0
Q2'26,C,0,0,0
Q2'26,D,0,0,0
Q2'26,E,0,0,0
Q2'26,F,0,0,0
Q2'26,A+,42,0,12
Q2'26,B+,3,6,34
Q2'26,C+,0,45,0
Q2'26,D+,50,31,15
Q2'26,E+,3,39,36
Q2'26,F+,61,28,47
Q3'26,A,0,0,0
Q3'26,B,0,0,0
Q3'26,C,0,0,0
Q3'26,D,0,0,0
Q3'26,E,0,0,0
Q3'26,F,0,0,0
Q3'26,A+,38,0,8
Q3'26,B+,3,0,41
Q3'26,C+,13,57,0
Q3'26,D+,54,40,10
Q3'26,E+,12,42,43
Q3'26,F+,62,29,48
Q4'26,A,0,0,0
Q4'26,B,0,0,0
Q4'26,C,0,0,0
Q4'26,D,0,0,0
Q4'26,E,0,0,0
Q4'26,F,0,0,0
Q4'26,A+,40,0,0
Q4'26,B+,0,3,42
Q4'26,C+,9,63,8
Q4'26,D+,55,44,6
Q4'26,E+,7,49,50
Q4'26,F+,62,34,41
Q1'27,A,0,0,0
Q1'27,B,0,0,0
Q1'27,C,0,0,0
Q1'27,D,0,0,0
Q1'27,E,0,0,0
Q1'27,F,0,0,0
Q1'27,A+,32,0,0
Q1'27,B+,0,3,45
Q1'27,C+,20,64,5
Q1'27,D+,53,45,4
Q1'27,E+,15,51,51
Q1'27,F+,56,35,42
Q2'27,A,0,0,0
Q2'27,B,0,0,0
Q2'27,C,0,0,0
Q2'27,D,0,0,0
Q2'27,E,0,0,0
Q2'27,F,0,0,0
Q2'27,A+,22,2,4
Q2'27,B+,0,3,49
Q2'27,C+,41,68,0
Q2'27,D+,55,49,5
Q2'27,E+,31,54,52
Q2'27,F+,52,39,48
Q3'27,A,0,0,0
Q3'27,B,0,0,0
Q3'27,C,0,0,0
Q3'27,D,0,0,0
Q3'27,E,0,0,0
Q3'27,F,0,0,0
Q3'27,A+,22,0,0
Q3'27,B+,0,3,53
Q3'27,C+,49,79,0
Q3'27,D+,61,56,0
Q3'27,E+,37,62,55
Q3'27,F+,56,43,47
Q4'27,A,0,0,0
Q4'27,B,0,0,0
Q4'27,C,0,0,0
Q4'27,D,0,0,0
Q4'27,E,0,0,0
Q4'27,F,0,0,0
Q4'27,A+,11,0,0
Q4'27,B+,0,3,56
Q4'27,C+,76,82,0
Q4'27,D+,66,58,0
Q4'27,E+,57,65,59
Q4'27,F+,54,45,50
