quarter,node,step,fab,loading
Q1'26,1,1,1,6916.3540277508728
Q1'26,1,1,2,3958.7963089654359
Q1'26,1,1,3,1124.8496632836909
Q1'26,1,2,1,6916.3540277508728
Q1'26,1,2,2,3958.7963089654359
Q1'26,1,2,3,1124.8496632836909
Q1'26,1,3,1,6916.3540277508728
Q1'26,1,3,2,3958.7963089654359
Q1'26,1,3,3,1124.8496632836909
Q1'26,1,4,1,6916.3540277508728
Q1'26,1,4,2,4142.8459722491261
Q1'26,1,4,3,940.80000000000098
Q1'26,1,5,1,6916.3540277508519
Q1'26,1,5,2,4142.8459722491243
Q1'26,1,5,3,940.80000000002474
Q1'26,1,6,1,6916.3540277508728
Q1'26,1,6,2,4142.845972249127
Q1'26,1,6,3,940.79999999999927
Q1'26,1,7,1,6916.3540277508719
Q1'26,1,7,2,4142.845972249128
Q1'26,1,7,3,940.79999999999927
Q1'26,1,8,1,6916.3540277508719
Q1'26,1,8,2,4142.8459722491289
Q1'26,1,8,3,940.79999999999905
Q1'26,1,9,1,6916.3540277508719
Q1'26,1,9,2,4142.8459722491289
Q1'26,1,9,3,940.79999999999905
Q1'26,1,10,1,6916.3540277508719
Q1'26,1,10,2,4142.8459722491289
Q1'26,1,10,3,940.79999999999905
Q1'26,1,11,1,6916.3540277508737
Q1'26,1,11,2,4142.845972249127
Q1'26,1,11,3,940.79999999999905
Q1'26,2,1,1,2669.9584893757342
Q1'26,2,1,2,2330.0415106242658
Q1'26,2,1,3,0
Q1'26,2,2,1,2669.9584893757342
Q1'26,2,2,2,2330.0415106242658
Q1'26,2,2,3,0
Q1'26,2,3,1,2669.9584893757342
Q1'26,2,3,2,2330.0415106242658
Q1'26,2,3,3,0
Q1'26,2,4,1,2669.9584893757342
Q1'26,2,4,2,2330.0415106242658
Q1'26,2,4,3,0
Q1'26,2,5,1,2669.9584893757342
Q1'26,2,5,2,2330.0415106242658
Q1'26,2,5,3,0
Q1'26,2,6,1,2669.9584893757342
Q1'26,2,6,2,2330.0415106242658
Q1'26,2,6,3,0
Q1'26,2,7,1,2669.9584893757342
Q1'26,2,7,2,2330.0415106242658
Q1'26,2,7,3,0
Q1'26,2,8,1,2669.9584893757342
Q1'26,2,8,2,2330.0415106242658
Q1'26,2,8,3,0
Q1'26,2,9,1,2669.9584893757351
Q1'26,2,9,2,2330.0415106242649
Q1'26,2,9,3,0
Q1'26,2,10,1,2669.9584893757351
Q1'26,2,10,2,2330.0415106242649
Q1'26,2,10,3,0
Q1'26,2,11,1,2669.9584893757351
Q1'26,2,11,2,2330.0415106242649
Q1'26,2,11,3,0
Q1'26,2,12,1,2669.9584893757351
Q1'26,2,12,2,2330.0415106242649
Q1'26,2,12,3,0
Q1'26,2,13,1,2669.9584893757351
Q1'26,2,13,2,2330.0415106242649
Q1'26,2,13,3,0
Q1'26,2,14,1,2669.9584893757351
Q1'26,2,14,2,2330.0415106242649
Q1'26,2,14,3,0
Q1'26,2,15,1,2669.9584893757351
Q1'26,2,15,2,2330.0415106242649
Q1'26,2,15,3,0
Q1'26,3,1,1,0
Q1'26,3,1,2,397.84364981504302
Q1'26,3,1,3,2602.1563501849569
Q1'26,3,2,1,0
Q1'26,3,2,2,397.84364981504302
Q1'26,3,2,3,2602.1563501849569
Q1'26,3,3,1,0
Q1'26,3,3,2,397.84364981504302
Q1'26,3,3,3,2602.1563501849569
Q1'26,3,4,1,0
Q1'26,3,4,2,397.84364981504302
Q1'26,3,4,3,2602.1563501849569
Q1'26,3,5,1,0
Q1'26,3,5,2,397.84364981504302
Q1'26,3,5,3,2602.1563501849569
Q1'26,3,6,1,0
Q1'26,3,6,2,397.84364981504302
Q1'26,3,6,3,2602.1563501849569
Q1'26,3,7,1,0
Q1'26,3,7,2,397.84364981504302
Q1'26,3,7,3,2602.1563501849569
Q1'26,3,8,1,0
Q1'26,3,8,2,397.84364981504302
Q1'26,3,8,3,2602.1563501849569
Q1'26,3,9,1,0
Q1'26,3,9,2,397.84364981504302
Q1'26,3,9,3,2602.1563501849569
Q1'26,3,10,1,0
Q1'26,3,10,2,397.84364981504302
Q1'26,3,10,3,2602.1563501849569
Q1'26,3,11,1,0
Q1'26,3,11,2,397.84364981504302
Q1'26,3,11,3,2602.1563501849569
Q1'26,3,12,1,1.9090206338800131e-12
Q1'26,3,12,2,397.84364981504302
Q1'26,3,12,3,2602.156350184955
Q1'26,3,13,1,0
Q1'26,3,13,2,397.84364981504302
Q1'26,3,13,3,2602.1563501849569
Q1'26,3,14,1,0
Q1'26,3,14,2,397.84364981504302
Q1'26,3,14,3,2602.1563501849569
Q1'26,3,15,1,0
Q1'26,3,15,2,397.84364981504302
Q1'26,3,15,3,2602.1563501849569
Q1'26,3,16,1,0
Q1'26,3,16,2,397.84364981504302
Q1'26,3,16,3,2602.1563501849569
Q1'26,3,17,1,0
Q1'26,3,17,2,397.84364981504302
Q1'26,3,17,3,2602.1563501849569
Q2'26,1,1,1,7159.114812611544
Q2'26,1,1,2,1900.0851873884551
Q2'26,1,1,3,940.80000000000109
Q2'26,1,2,1,7159.114812611544
Q2'26,1,2,2,1900.0851873884551
Q2'26,1,2,3,940.80000000000109
Q2'26,1,3,1,7159.1148126115449
Q2'26,1,3,2,1900.0851873884551
Q2'26,1,3,3,940.79999999999995
Q2'26,1,4,1,7159.1148126115449
Q2'26,1,4,2,1900.0851873884551
Q2'26,1,4,3,940.79999999999995
Q2'26,1,5,1,7159.1148126114958
Q2'26,1,5,2,1900.085187388504
Q2'26,1,5,3,940.79999999999995
Q2'26,1,6,1,7159.1148126115449
Q2'26,1,6,2,1900.0851873884551
Q2'26,1,6,3,940.79999999999995
Q2'26,1,7,1,7159.1148126115449
Q2'26,1,7,2,1900.0851873884551
Q2'26,1,7,3,940.79999999999995
Q2'26,1,8,1,7159.1148126115449
Q2'26,1,8,2,1900.0851873884551
Q2'26,1,8,3,940.79999999999995
Q2'26,1,9,1,7159.1148126115449
Q2'26,1,9,2,1900.0851873884551
Q2'26,1,9,3,940.79999999999995
Q2'26,1,10,1,7159.1148126115459
Q2'26,1,10,2,1900.085187388454
Q2'26,1,10,3,940.79999999999995
Q2'26,1,11,1,7159.1148126115459
Q2'26,1,11,2,1900.0851873884551
Q2'26,1,11,3,940.79999999999995
Q2'26,2,1,1,2397.268292682927
Q2'26,2,1,2,2802.731707317073
Q2'26,2,1,3,0
Q2'26,2,2,1,2397.268292682927
Q2'26,2,2,2,2802.731707317073
Q2'26,2,2,3,0
Q2'26,2,3,1,2397.268292682927
Q2'26,2,3,2,2802.7317073170707
Q2'26,2,3,3,1.8189894035458565e-12
Q2'26,2,4,1,2397.268292682927
Q2'26,2,4,2,2802.731707317073
Q2'26,2,4,3,0
Q2'26,2,5,1,2397.268292682927
Q2'26,2,5,2,2802.731707317073
Q2'26,2,5,3,0
Q2'26,2,6,1,2397.268292682927
Q2'26,2,6,2,2802.731707317073
Q2'26,2,6,3,0
Q2'26,2,7,1,2397.268292682927
Q2'26,2,7,2,2802.731707317073
Q2'26,2,7,3,0
Q2'26,2,8,1,2397.268292682927
Q2'26,2,8,2,2802.731707317073
Q2'26,2,8,3,0
Q2'26,2,9,1,2397.268292682927
Q2'26,2,9,2,2802.731707317073
Q2'26,2,9,3,0
Q2'26,2,10,1,2397.268292682927
Q2'26,2,10,2,2802.731707317073
Q2'26,2,10,3,0
Q2'26,2,11,1,2397.268292682927
Q2'26,2,11,2,2802.731707317073
Q2'26,2,11,3,0
Q2'26,2,12,1,2397.268292682927
Q2'26,2,12,2,2802.731707317073
Q2'26,2,12,3,0
Q2'26,2,13,1,2397.268292682927
Q2'26,2,13,2,2802.731707317073
Q2'26,2,13,3,0
Q2'26,2,14,1,2397.268292682927
Q2'26,2,14,2,2802.731707317073
Q2'26,2,14,3,0
Q2'26,2,15,1,2397.268292682927
Q2'26,2,15,2,2802.731707317073
Q2'26,2,15,3,0
Q2'26,3,1,1,0
Q2'26,3,1,2,2177.7844154584691
Q2'26,3,1,3,2322.2155845415309
Q2'26,3,2,1,0
Q2'26,3,2,2,2177.7844154584691
Q2'26,3,2,3,2322.2155845415309
Q2'26,3,3,1,0
Q2'26,3,3,2,2177.7844154584691
Q2'26,3,3,3,2322.2155845415309
Q2'26,3,4,1,0
Q2'26,3,4,2,2177.7844154584691
Q2'26,3,4,3,2322.2155845415309
Q2'26,3,5,1,0
Q2'26,3,5,2,2177.7844154584691
Q2'26,3,5,3,2322.2155845415309
Q2'26,3,6,1,0
Q2'26,3,6,2,2177.7844154584691
Q2'26,3,6,3,2322.2155845415309
Q2'26,3,7,1,0
Q2'26,3,7,2,2177.7844154584691
Q2'26,3,7,3,2322.2155845415309
Q2'26,3,8,1,0
Q2'26,3,8,2,2177.7844154584691
Q2'26,3,8,3,2322.2155845415309
Q2'26,3,9,1,0
Q2'26,3,9,2,2177.7844154584691
Q2'26,3,9,3,2322.2155845415309
Q2'26,3,10,1,0
Q2'26,3,10,2,2177.7844154584691
Q2'26,3,10,3,2322.2155845415309
Q2'26,3,11,1,0
Q2'26,3,11,2,2177.7844154584691
Q2'26,3,11,3,2322.2155845415309
Q2'26,3,12,1,0
Q2'26,3,12,2,2177.7844154584691
Q2'26,3,12,3,2322.2155845415309
Q2'26,3,13,1,0
Q2'26,3,13,2,2177.7844154584691
Q2'26,3,13,3,2322.2155845415309
Q2'26,3,14,1,0
Q2'26,3,14,2,2177.7844154584691
Q2'26,3,14,3,2322.2155845415309
Q2'26,3,15,1,0
Q2'26,3,15,2,2177.7844154584691
Q2'26,3,15,3,2322.2155845415309
Q2'26,3,16,1,0
Q2'26,3,16,2,2177.7844154584691
Q2'26,3,16,3,2322.2155845415309
Q2'26,3,17,1,0
Q2'26,3,17,2,2177.7844154584691
Q2'26,3,17,3,2322.2155845415309
Q3'26,1,1,1,6118.4275996026854
Q3'26,1,1,2,1807.9942081448221
Q3'26,1,1,3,573.57819225249295
Q3'26,1,2,1,6118.4275996026854
Q3'26,1,2,2,1807.994208144821
Q3'26,1,2,3,573.57819225249295
Q3'26,1,3,1,6118.4275996026854
Q3'26,1,3,2,1807.994208144815
Q3'26,1,3,3,573.5781922525
Q3'26,1,4,1,6118.4275996026863
Q3'26,1,4,2,1807.9942081448139
Q3'26,1,4,3,573.5781922525
Q3'26,1,5,1,6118.4275996026854
Q3'26,1,5,2,1807.994208144815
Q3'26,1,5,3,573.5781922525
Q3'26,1,6,1,6118.4275996026863
Q3'26,1,6,2,1807.9942081448139
Q3'26,1,6,3,573.5781922525
Q3'26,1,7,1,6118.4275996027063
Q3'26,1,7,2,1807.9942081447937
Q3'26,1,7,3,573.5781922525
Q3'26,1,8,1,6118.4275996026654
Q3'26,1,8,2,1807.9942081448351
Q3'26,1,8,3,573.5781922525
Q3'26,1,9,1,6118.4275996026663
Q3'26,1,9,2,1807.9942081448351
Q3'26,1,9,3,573.57819225249898
Q3'26,1,10,1,6118.4275996026663
Q3'26,1,10,2,1807.9942081448351
Q3'26,1,10,3,573.57819225249898
Q3'26,1,11,1,6118.4275996026654
Q3'26,1,11,2,1807.9942081448351
Q3'26,1,11,3,573.5781922525
Q3'26,2,1,1,3563.1627906976319
Q3'26,2,1,2,1836.8372093023679
Q3'26,2,1,3,0
Q3'26,2,2,1,3563.1627906976319
Q3'26,2,2,2,1836.8372093023679
Q3'26,2,2,3,0
Q3'26,2,3,1,3563.162790697626
Q3'26,2,3,2,1836.837209302374
Q3'26,2,3,3,0
Q3'26,2,4,1,3563.162790697626
Q3'26,2,4,2,1836.837209302374
Q3'26,2,4,3,0
Q3'26,2,5,1,3563.1627906976391
Q3'26,2,5,2,1836.8372093023611
Q3'26,2,5,3,0
Q3'26,2,6,1,3563.162790697671
Q3'26,2,6,2,1836.837209302329
Q3'26,2,6,3,0
Q3'26,2,7,1,3563.1627906976678
Q3'26,2,7,2,1836.837209302332
Q3'26,2,7,3,0
Q3'26,2,8,1,3563.1627906976591
Q3'26,2,8,2,1836.8372093023411
Q3'26,2,8,3,0
Q3'26,2,9,1,3563.162790697656
Q3'26,2,9,2,1836.837209302344
Q3'26,2,9,3,0
Q3'26,2,10,1,3563.162790697661
Q3'26,2,10,2,1836.837209302339
Q3'26,2,10,3,0
Q3'26,2,11,1,3563.1627906976728
Q3'26,2,11,2,1836.837209302327
Q3'26,2,11,3,0
Q3'26,2,12,1,3563.1627906976751
Q3'26,2,12,2,1836.8372093023249
Q3'26,2,12,3,0
Q3'26,2,13,1,3563.1627906976751
Q3'26,2,13,2,1836.8372093023249
Q3'26,2,13,3,0
Q3'26,2,14,1,3563.1627906976751
Q3'26,2,14,2,1836.8372093023249
Q3'26,2,14,3,0
Q3'26,2,15,1,3563.1627906976751
Q3'26,2,15,2,1836.8372093023015
Q3'26,2,15,3,2.3646862246096134e-11
Q3'26,3,1,1,-0
Q3'26,3,1,2,3263.5482352941149
Q3'26,3,1,3,3736.4517647058851
Q3'26,3,2,1,0
Q3'26,3,2,2,3263.548235294109
Q3'26,3,2,3,3736.451764705891
Q3'26,3,3,1,9.9999999999999998e-13
Q3'26,3,3,2,3263.548235294109
Q3'26,3,3,3,3736.4517647058901
Q3'26,3,4,1,9.9999999999999998e-13
Q3'26,3,4,2,3263.548235294134
Q3'26,3,4,3,3736.4517647058651
Q3'26,3,5,1,5.6e-11
Q3'26,3,5,2,3263.5482352940789
Q3'26,3,5,3,3736.4517647058651
Q3'26,3,6,1,1.5e-11
Q3'26,3,6,2,3263.5482352941558
Q3'26,3,6,3,3736.4517647058292
Q3'26,3,7,1,0
Q3'26,3,7,2,3263.5482352941708
Q3'26,3,7,3,3736.4517647058292
Q3'26,3,8,1,0
Q3'26,3,8,2,3263.5482352941272
Q3'26,3,8,3,3736.4517647058728
Q3'26,3,9,1,0
Q3'26,3,9,2,3263.548235294084
Q3'26,3,9,3,3736.451764705916
Q3'26,3,10,1,1.2000000000000001e-11
Q3'26,3,10,2,3263.548235294084
Q3'26,3,10,3,3736.4517647059042
Q3'26,3,11,1,1.2000000000000001e-11
Q3'26,3,11,2,3263.548235294084
Q3'26,3,11,3,3736.4517647059042
Q3'26,3,12,1,4.9999999999999997e-12
Q3'26,3,12,2,3263.548235294084
Q3'26,3,12,3,3736.451764705911
Q3'26,3,13,1,0
Q3'26,3,13,2,3263.548235294084
Q3'26,3,13,3,3736.451764705916
Q3'26,3,14,1,0
Q3'26,3,14,2,3263.548235294084
Q3'26,3,14,3,3736.451764705916
Q3'26,3,15,1,0
Q3'26,3,15,2,3263.5482352940712
Q3'26,3,15,3,3736.4517647059288
Q3'26,3,16,1,0
Q3'26,3,16,2,3263.5482352940712
Q3'26,3,16,3,3736.4517647059288
Q3'26,3,17,1,0
Q3'26,3,17,2,3263.5482352940712
Q3'26,3,17,3,3736.4517647059288
Q4'26,1,1,1,3348.8000000000002
Q4'26,1,1,2,3140.799999999997
Q4'26,1,1,3,1010.400000000003
Q4'26,1,2,1,3348.8000000000011
Q4'26,1,2,2,3140.799999999997
Q4'26,1,2,3,1010.4000000000015
Q4'26,1,3,1,3348.8000000000011
Q4'26,1,3,2,3140.799999999997
Q4'26,1,3,3,1010.4000000000015
Q4'26,1,4,1,3348.8000000000011
Q4'26,1,4,2,3140.7999999999952
Q4'26,1,4,3,1010.4000000000033
